ID;WAARDELIJSTID;CODE;WAARDE;VANAF;TOT;TOELICHTING
1546;4;2589;Buren;2010-06-29;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2589
1547;4;2590;Herkenbosch;2015-05-26;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2590
1548;4;2591;Melick;2015-05-26;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2591
1549;4;2592;Montfort;2010-12-16;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2592
1550;4;2593;Posterholt;2010-05-11;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2593
1551;4;2594;Sint Odiliënberg;2015-05-26;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2594
1552;4;2595;Vlodrop;2010-05-11;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2595
1553;4;2596;Sprang-Capelle;2016-09-20;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2596
1554;4;2597;Waalwijk;2016-09-20;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2597
1555;4;2598;Waspik;2009-01-13;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2598
1556;4;2601;Maasbree;2010-11-23;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2601
1557;4;2602;Baarlo;2010-11-23;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2602
1558;4;2603;Bunnik;2008-12-23;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2603
1559;4;2604;Odijk;2008-12-23;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2604
1560;4;2605;Werkhoven;2008-12-23;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2605
1561;4;2606;Klarenbeek;2009-07-01;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2606
1562;4;2607;Nijbroek;2009-07-01;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2607
1563;4;2608;Steenenkamer;2009-07-01;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2608
1564;4;2609;Terwolde;2009-07-01;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2609
1565;4;2610;Teuge;2009-07-01;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2610
1566;4;2611;Twello;2015-11-03;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2611
1567;4;2612;Voorst;2009-07-01;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2612
1568;4;2613;Wilp;2015-11-03;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2613
1569;4;2614;Oosterend;2010-01-01;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2614
1570;4;2615;Hoorn;2010-01-01;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2615
1571;4;2616;Lies;2010-01-26;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2616
1572;4;2617;Formerum;2010-01-26;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2617
1573;4;2618;Landerum;2010-01-01;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2618
1574;4;2619;Midsland;2010-01-01;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2619
1575;4;2620;Striep;2010-01-01;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2620
1576;4;2621;Baaiduinen;2010-01-01;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2621
1577;4;2622;Kaard;2010-01-01;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2622
1578;4;2623;Hee;2010-01-01;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2623
1579;4;2624;Kinnum;2010-01-01;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2624
1580;4;2625;West-Terschelling;2010-01-01;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2625
1581;4;2626;Aalst;2010-09-07;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2626
1582;4;2627;Bern;2010-09-07;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2627
1583;4;2628;Brakel;2012-05-08;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2628
1584;4;2629;Bruchem;2012-05-08;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2629
1585;4;2630;Delwijnen;2010-09-07;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2630
1586;4;2631;Gameren;2010-09-07;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2631
1587;4;2632;Kerkwijk;2012-05-08;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2632
1588;4;2633;Nederhemert;2010-09-07;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2633
1589;4;2634;Nieuwaal;2010-09-07;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2634
1590;4;2635;Poederoijen;2012-05-08;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2635
1591;4;2636;Zaltbommel;2010-09-07;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2636
1592;4;2637;Zuilichem;2010-09-07;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2637
1593;4;2638;Leusden;2010-07-06;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2638
1594;4;2639;Stoutenburg;2010-07-06;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2639
1595;4;2640;Achterveld;2010-07-06;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2640
1596;4;2641;Haarlemmerliede;2008-09-02;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2641
1597;4;2643;Halfweg;2008-09-02;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2643
1598;4;2644;Zoeterwoude;2013-04-09;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2644
